Title,Released,Episode,imdbRating,imdbID
Pilot,2003-11-02,1,8.4,tt0515236
Top Banana,2003-11-09,2,8.6,tt0515256
Bringing Up Buster,2003-11-16,3,8.3,tt0515212
Key Decisions,2003-11-23,4,8.5,tt0515223
Charity Drive,2003-11-30,5,8.4,tt0515214
Visiting Ours,2003-12-07,6,8.2,tt0515257
In God We Trust,2003-12-21,7,8.2,tt0515221
My Mother the Car,2003-12-14,8,8.2,tt0515231
Storming the Castle,2004-01-04,9,8.6,tt0515247
Pier Pressure,2004-01-11,10,9.2,tt0515235
Public Relations,2004-01-25,11,8.4,tt0515238
Marta Complex,2004-02-08,12,8.5,tt0515226
Beef Consomme,2004-02-15,13,8.6,tt0515210
Shock and Aww,2004-03-07,14,8.7,tt0515244
Staff Infection,2004-03-14,15,8.4,tt0515246
Altar Egos,2004-03-17,16,8.6,tt0515208
Justice Is Blind,2004-03-21,17,8.8,tt0515222
Missing Kitty,2004-03-28,18,8.5,tt0515228
Best Man for the Gob,2004-04-04,19,8.4,tt0515211
Whistler's Mother,2004-04-11,20,8.2,tt0515258
Not Without My Daughter,2004-04-25,21,8.7,tt0515232
Let 'Em Eat Cake,2004-06-06,22,8.9,tt0515224
The One Where Michael Leaves,2004-11-07,1,8.8,tt0515253
The One Where They Build a House,2004-11-14,2,8.7,tt0515254
Amigos,2004-11-21,3,8.9,tt0515209
Good Grief!,2004-12-05,4,9.1,tt0515219
Sad Sack,2004-12-12,5,8.7,tt0515243
Afternoon Delight,2004-12-19,6,9.1,tt0515207
Switch Hitter,2005-01-16,7,8.4,tt0515248
Queen for a Day,2005-01-23,8,8.3,tt0515239
Burning Love,2005-01-30,9,8.3,tt0515213
"Ready, Aim, Marry Me",2005-02-13,10,8.5,tt0515240
Out on a Limb,2005-03-06,11,8.5,tt0515234
Hand to God,2005-03-06,12,8.9,tt0515220
Motherboy XXX,2005-03-13,13,8.8,tt0515229
The Immaculate Election,2005-03-20,14,8.7,tt0515251
Sword of Destiny,2005-03-27,15,8.9,tt0515255
Meat the Veals,2005-04-03,16,9.1,tt0515227
Spring Breakout,2005-04-10,17,8.7,tt0515245
Righteous Brothers,2005-04-17,18,9.0,tt0515241
The Cabin Show,2005-09-19,1,8.7,tt0515250
For British Eyes Only,2005-09-26,2,8.5,tt0515249
Forget Me Now,2005-10-03,3,8.7,tt0515218
Notapusy,2005-11-07,4,8.4,tt0515233
Mr. F,2005-11-07,5,8.9,tt0515230
The Ocean Walker,2005-12-05,6,8.8,tt0515252
Prison Break-In,2005-12-12,7,8.2,tt0515237
Making a Stand,2005-12-19,8,8.9,tt0515225
S.O.B.s,2006-01-02,9,8.9,tt0515242
Fakin' It,2006-02-10,10,8.7,tt0515216
Family Ties,2006-02-10,11,8.8,tt0515217
Exit Strategy,2006-02-10,12,9.0,tt0515215
Development Arrested,2006-02-10,13,9.3,tt0757386
